"","percentHsEdu","percentBachelorsEdu","perCapitaIncome","ueRate","uninsuredRate","medianAge","y","x"
"1",91.3,30.1,33135,4.57155237785722,3.1,45.8,3.1,33135
"2",95.4,67,27657,7.17726396917148,3.2,23.6,3.2,27657
"3",80.9,21.3,4370,18.0226775412771,2.8,19.9,2.8,4370
"4",96.5,30.9,35334,5.27983104540655,1,45.4,1,35334
"5",93.6,44.7,39308,4.45660672400313,1.1,43.8,1.1,39308
"6",89.5,28.5,33933,7.86666666666667,2.6,49.9,2.6,33933
"7",84.6,20,26043,9.69162995594714,12.5,66.2,12.5,26043
"8",93.8,37,39077,7.58907913003239,0.1,48.1,0.1,39077
"9",90.7,19.9,30903,5.90318772136954,6.5,39.9,6.5,30903
"10",94.4,38.1,37778,8.90207715133531,4.9,43.2,4.9,37778
"11",80.6,17.4,21738,8.74122768055432,3.2,35,3.2,21738
"12",87.9,16.2,30076,7.27361484012692,3.7,44.2,3.7,30076
"13",94.6,27.5,25748,11.1217641418984,1.1,37.6,1.1,25748
"14",97.8,42.5,30925,4.5643153526971,3.1,49.5,3.1,30925
"15",95.2,35.5,34386,6.45790745214644,3.1,44.9,3.1,34386
"16",94.3,42.7,38320,4.95097445829803,1.5,45.9,1.5,38320
"17",91.2,29.9,31970,9.17647058823529,8.9,47.3,8.9,31970
"18",94,31.4,33551,3.62762961735962,3.3,45.1,3.3,33551
"19",92.4,28.5,27940,6.13598673300166,3.6,38.6,3.6,27940
"20",97.3,49.9,37424,5.2054794520548,2.4,49.8,2.4,37424
"21",92.6,38.4,40222,4.38095238095238,3.2,45.8,3.2,40222
"22",95,30.5,36015,4.7085201793722,1.7,46.9,1.7,36015
"23",96.3,44.7,41575,1.2012012012012,5.8,47.4,5.8,41575
"24",93.5,35.7,39634,6.05953224663359,0,49.4,0,39634
"25",100,39.1,31356,6.62251655629139,4.1,46.1,4.1,31356
"26",98.4,37.5,39453,1.32336018411968,0.6,51.4,0.6,39453
"27",95.8,56.2,49565,6.93717277486911,2.8,54.6,2.8,49565
"28",79,24.1,22625,10.1761995120629,3.2,35.2,3.2,22625
"29",94.3,27.7,31233,1.74904942965779,1.6,43.7,1.6,31233
"30",95.5,46.6,31413,3.58126721763085,3.8,53.2,3.8,31413
"31",97.2,64.9,46486,3.64963503649635,0.8,50.9,0.8,46486
"32",83.7,23.7,33247,5.40709625525069,2.4,44.4,2.4,33247
"33",91.9,26.4,35989,6.55419817723483,2.2,46.3,2.2,35989
"34",95.4,61.8,36152,5.4100843973166,2.3,34.3,2.3,36152
"35",93.7,53.8,38373,6.62973552537527,1.6,45.2,1.6,38373
"36",100,0,3532,6.50406504065041,2.4,20.5,2.4,3532
"37",100,100,NA,NA,0,NA,0,NA
"38",94.1,35.1,35289,4.78380864765409,2.8,46.7,2.8,35289
"39",92.6,29.2,32833,6.93813006523028,3.4,47.1,3.4,32833
"40",95.4,45.8,30342,5.1150895140665,1.1,50.2,1.1,30342
"41",95.9,31.5,32683,4.15430267062314,5.1,47.9,5.1,32683
"42",98,65.8,36574,5.8472553699284,2.1,45.6,2.1,36574
"43",94.4,37.8,44641,6.16418346479696,1.5,46.4,1.5,44641
"44",85,14.6,18494,0,8.2,33.7,8.2,18494
"45",93.5,40.5,32046,6.33443410387271,2.4,40.3,2.4,32046
"46",89.6,35,38002,4.81481481481481,2,46.6,2,38002
"47",92.7,34.7,31721,0,0,46.3,0,31721
"48",90.5,16.7,23355,11.6809116809117,5.4,32.7,5.4,23355
"49",93.6,18.4,26913,4.50867052023121,2.7,43.7,2.7,26913
"50",91.7,21.8,27830,7.81605175730023,2.6,41.8,2.6,27830
"51",93.5,19.7,24012,4.83870967741935,5.5,36.9,5.5,24012
"52",97.8,62.5,43879,6.19469026548673,2.2,53.6,2.2,43879
"53",92.2,32,29630,6.35337358886847,2.1,39.1,2.1,29630
"54",NA,NA,2892,0,0,19,0,2892
"55",89.4,32.3,32106,7.44186046511628,2,53.3,2,32106
"56",89.3,31.2,29344,7.62613942739761,3,39.2,3,29344
"57",90.7,30.8,33033,6.83918669131238,0.1,47,0.1,33033
"58",94.7,60.5,54538,0,0,52.6,0,54538
"59",87.1,24.6,32228,0,0,54.6,0,32228
"60",94.4,43.2,45406,3.81286843095447,1.8,47.2,1.8,45406
"61",94.2,40.4,36844,5.17354289456451,1.3,44.3,1.3,36844
"62",61.9,14.3,9161,0,0,17.1,0,9161
"63",94.8,36.6,43006,1.35869565217391,3.5,50.4,3.5,43006
"64",67.4,21.9,21340,13.2564841498559,2.4,33.6,2.4,21340
"65",74.7,12.7,19687,11.5566265060241,6,36,6,19687
"66",66.3,12.1,15259,17.1147383581373,5.7,32.3,5.7,15259
"67",96.4,65.4,55504,4.61384152457372,1,46.2,1,55504
"68",55,11.6,15178,22.707423580786,7,28.8,7,15178
"69",75.3,18.3,18875,10.3600517621984,5,31.7,5,18875
"70",77.9,15.1,15703,10.8907698508666,5.3,27.9,5.3,15703
"71",90.1,31.4,29498,5.67794387621296,1.9,36.8,1.9,29498
"72",84.2,21.3,22681,10.1014832162373,2.4,34.7,2.4,22681
"73",92.4,25.2,35083,6.2807881773399,3.7,48.3,3.7,35083
"74",89.2,28.4,30597,5.91593149974053,0.9,42.9,0.9,30597
"75",79.5,13.7,18717,10.5766985757647,2.3,32.7,2.3,18717
"76",NA,NA,NA,NA,NA,NA,NA,NA
"77",90.2,28.8,30286,7.80715140017322,2.6,44,2.6,30286
"78",88.1,22.6,28827,6.53623832814584,1.7,45.8,1.7,28827
"79",88.6,24.8,39128,2.6694045174538,3.3,49.2,3.3,39128
"80",93.9,31.5,39393,6.75287356321839,2.9,51.8,2.9,39393
"81",88.2,5.1,22355,24.4897959183673,0,49.8,0,22355
"82",93.5,21.1,33984,10.0401606425703,1.5,48.2,1.5,33984
"83",95.4,35.8,34994,6.46806226516371,4.8,48.9,4.8,34994
"84",83.7,15.1,18577,0,0,67.4,0,18577
"85",91.2,41.5,37450,4.24735915492958,5.6,49.9,5.6,37450
"86",94,31.9,35609,4.82154038822793,2.2,49.6,2.2,35609
"87",90.8,51,32948,6.25931445603577,9.5,42.2,9.5,32948
"88",96,40.3,33634,8.06658130601793,2,46.9,2,33634
"89",90.5,32.6,33536,3.6424957841484,3.2,46.5,3.2,33536
"90",96,53.8,53659,4.81695568400771,0.9,57.2,0.9,53659
"91",99.7,55,29336,0,0,33.8,0,29336
"92",97.7,25.2,51112,0.854700854700855,2.4,57.3,2.4,51112
"93",90.8,45.9,41983,0,0,60.8,0,41983
"94",96,54,49853,3.02375809935205,1.2,55.8,1.2,49853
"95",85.2,24.4,24982,9.45573112616002,3.5,43.6,3.5,24982
"96",93.8,33.1,45803,4.51127819548872,2.3,59.8,2.3,45803
"97",95.2,51.2,67240,4.36507936507936,1.8,58.3,1.8,67240
"98",91.4,37.3,36882,5.06912442396313,2.1,50.2,2.1,36882
"99",84,18.3,29340,5.39906103286385,3.1,47.3,3.1,29340
"100",92.5,35.1,46014,4.26229508196721,1.8,53.1,1.8,46014
"101",96,55.1,46676,0,0.6,61.7,0.6,46676
"102",89.6,48.8,58770,3.81679389312977,5.3,60.6,5.3,58770
"103",69.5,23.4,28091,9.84848484848485,16.3,32.9,16.3,28091
"104",90.9,37.5,38369,4.47093889716841,0,56.9,0,38369
"105",100,52,49908,15.8878504672897,0.5,58.4,0.5,49908
"106",96.9,47.9,45261,1.92307692307692,2.9,55.5,2.9,45261
"107",92.5,61.5,33267,6.17559523809524,0.9,31.9,0.9,33267
"108",98.4,41,45778,3.80549682875264,3.7,50.1,3.7,45778
"109",92.6,31.8,30169,5.19614946692889,3.2,44.1,3.2,30169
"110",98.3,48.4,41585,2.0042194092827,2.2,49.3,2.2,41585
"111",87.7,18.4,27402,9.46185688941455,3.6,44.7,3.6,27402
"112",95.4,28.9,34785,4.22730422730423,2.1,50,2.1,34785
"113",92.5,24.7,24208,15.929203539823,0,59.6,0,24208
"114",93.2,32.6,29754,7.53911806543385,2.7,50.5,2.7,29754
"115",91,27.3,29428,7.73305084745763,3.1,53.7,3.1,29428
"116",99.1,61.7,51004,3.93996247654784,5,50.9,5,51004
"117",95.5,67.9,41962,0,2.6,43.9,2.6,41962
"118",87,13,38683,0,0,59.5,0,38683
"119",95.4,16.7,28889,6.80507497116494,1.8,41.9,1.8,28889
"120",95.8,35.4,34662,1.66666666666667,1.3,49.1,1.3,34662
"121",91.7,16.7,27629,0,0,46,0,27629
"122",88.1,22.7,26995,12.6436781609195,3.6,37.7,3.6,26995
"123",98.6,15.9,27507,5.88235294117647,4.7,54.7,4.7,27507
"124",96.8,36.3,40829,3.94321766561514,0.5,46.9,0.5,40829
"125",97.7,48.4,38346,4.17422867513612,4.9,47.6,4.9,38346
"126",96.9,44,36789,7.67634854771784,2.6,50.8,2.6,36789
"127",94.9,38.3,33657,7.23876240513719,1.5,46,1.5,33657
"128",87.4,16.9,23103,10.1302844988035,1.8,45.4,1.8,23103
"129",97.5,38,35783,6.02409638554217,1.6,51,1.6,35783
"130",86.4,33,28197,1.36518771331058,2.5,44.4,2.5,28197
"131",90.8,17.2,32809,5.6657223796034,3.5,51.1,3.5,32809
"132",90.2,43.8,37400,6.85483870967742,2.3,51.3,2.3,37400
"133",96.3,46.3,38682,5.59732664995823,1.1,49.5,1.1,38682
"134",93.3,56.1,36664,2.83097418817652,2.3,31.3,2.3,36664
"135",86.6,24.4,25887,8.58585858585858,5.8,44.1,5.8,25887
"136",89.5,33.1,30777,1.55440414507772,2.3,55.7,2.3,30777
"137",93.2,46.3,28998,7.06401766004415,2.8,51.2,2.8,28998
"138",82.4,20.7,24887,10.0766338235994,4.4,35.4,4.4,24887
"139",97.2,36.9,33886,6.4,1.9,41.1,1.9,33886
"140",91.6,28.6,36900,6.17149098853086,2.6,45.9,2.6,36900
"141",95.5,40.4,42774,4.18454935622318,2.6,39.1,2.6,42774
"142",94.9,25.8,17126,9.64630225080386,1.3,43.4,1.3,17126
"143",88.9,23,31607,3.89004149377593,1.7,43.3,1.7,31607
"144",84.9,13.4,36265,9.32475884244373,0.2,60.1,0.2,36265
"145",87.7,18.6,25866,5.80714425141519,1.5,40.6,1.5,25866
"146",98.3,66.2,53410,3.91762933199397,1.1,45.6,1.1,53410
"147",98.8,78.2,60666,6.6747572815534,0.2,47.2,0.2,60666
"148",96,30.6,38657,4.55743879472693,0.9,45.7,0.9,38657
"149",86.3,28.1,30775,5.82242280709594,4.4,40.2,4.4,30775
"150",97.4,55.9,49934,5.77696526508227,0.6,44.4,0.6,49934
"151",93.6,35.4,41737,3.73416680375062,0.9,44.1,0.9,41737
"152",94.3,37.7,40919,5.52756372258447,2.5,42.9,2.5,40919
"153",87.4,27.8,31903,4.30484693877551,4.3,42.3,4.3,31903
"154",100,56.9,42565,0,7.4,51.4,7.4,42565
"155",91.8,23.4,38444,4.96562261268144,4.1,47.2,4.1,38444
"156",95.8,34.9,39302,3.70023419203747,2.8,39.2,2.8,39302
"157",93.8,43,43218,4.29986492570914,1.1,44.7,1.1,43218
"158",91.6,40.5,47724,3.59389038634322,8.2,44.5,8.2,47724
"159",88.5,19.2,29400,6.00203458799593,2,41.3,2,29400
"160",93.3,38.3,38476,5.85524837042032,1.2,46.8,1.2,38476
"161",93.8,45.7,48547,2.41360394953374,2.7,47.6,2.7,48547
"162",94.2,31.1,35249,5.67424371902239,2.6,41.6,2.6,35249
"163",96.6,56.3,46148,2.92195309496348,1,42.7,1,46148
"164",87.3,30.9,37864,5.21785906401291,6.4,44.9,6.4,37864
"165",95.7,34.9,39167,8.75276368838601,1.7,43.1,1.7,39167
"166",92.4,36.2,33410,4.18627693832054,3.4,38.9,3.4,33410
"167",90.4,32.5,36927,4.77968633308439,1.4,42.2,1.4,36927
"168",96.5,34.6,37825,2.73384104667057,0.1,41.7,0.1,37825
"169",96.7,45.7,39866,2.77475516866159,0.2,42.6,0.2,39866
"170",95.8,52.5,49307,2.44473342002601,0.9,43.5,0.9,49307
"171",97.2,54.3,43270,4.66309162975052,2.2,41.8,2.2,43270
"172",94.3,31.9,34752,8.1799591002045,2.9,43.7,2.9,34752
"173",96.2,51.1,44718,4.60526315789474,1.6,41.2,1.6,44718
"174",86.8,36.4,35322,4.8688125507168,2.2,38.4,2.2,35322
"175",90.1,27.8,34311,4.44888777805549,4.1,45.4,4.1,34311
"176",74.8,49,25773,14.7286821705426,0,36.5,0,25773
"177",91.7,31.3,37951,6.16161616161616,2.2,43.2,2.2,37951
"178",89.9,28.3,37644,4.42105263157895,1.3,41.8,1.3,37644
"179",91.7,33.6,37371,5.97014925373134,1.7,46.8,1.7,37371
