giniIndex,percentNoWeb,meanHouseholdSize,percentHsEdu,percentBachelorsEdu,perCapitaIncome,uninsuredRate,ueRate,percentArmedForces,percentEnglishOnly,medianAge,percent65andOlder,percentHigherEd,y,x
.41620001,18.726542,2.28,91.300003,30.1,33135,3.0999999,4.5715523,.10212418,83.213516,45.799999,23.200001,6.2425113,3.0999999,33135
.52139997,7.3275862,2.5,95.400002,67,27657,3.2,7.1772637,0,82.11927,23.6,11,43.226223,3.2,27657
.66850001,0,2.29,80.900002,21.299999,4370,2.8,18.022678,0,78.851852,19.9,0,99.577759,2.8,4370
.42809999,16.190475,2.6900001,96.5,30.9,35334,1,5.2798309,0,97.375977,45.400002,14.7,6.3140631,1,35334
.41460001,9.6977329,2.6800001,93.599998,44.700001,39308,1.1,4.4566069,0,94.269218,43.799999,14.2,7.7794986,1.1,39308
.3493,22.445255,2.3199999,89.5,28.5,33933,2.5999999,7.8666668,0,97.947456,49.900002,22.6,2.545156,2.5999999,33933
.3414,7.0063696,2.45,84.599998,20,26043,12.5,9.6916304,0,96.614586,66.199997,51.700001,12.5,12.5,26043
.4122,12.081911,2.54,93.800003,37,39077,.1,7.5890789,0,96.202179,48.099998,18.900002,5.0823793,.1,39077
.38389999,20.27972,2.6300001,90.699997,19.9,30903,6.5,5.9031878,.73952341,95.067909,39.900002,12.9,5.8613296,6.5,30903
.42250001,6.8669529,2.28,94.400002,38.099998,37778,4.9000001,8.9020767,0,94.810379,43.200001,19.199999,3.7924151,4.9000001,37778
.42919999,20.047449,2.4100001,80.599998,17.4,21738,3.2,8.7412281,.043038521,70.687828,35,14.6,8.1099787,3.2,21738
.41280001,18.109039,2.4100001,87.900002,16.200001,30076,3.7,7.2736149,.32871288,83.466072,44.200001,19,6.8062463,3.7,30076
.3538,21.995094,1.7,94.599998,27.5,25748,1.1,11.121764,3.1732419,87.965614,37.599998,23.300001,11.665984,1.1,25748
.38800001,16.122004,2.0899999,97.800003,42.5,30925,3.0999999,4.5643153,0,98.92704,49.5,23.700001,.85836911,3.0999999,30925
.41350001,11.269217,2.26,95.199997,35.5,34386,3.0999999,6.4579077,.025987526,91.323006,44.900002,17.6,9.6456118,3.0999999,34386
.41339999,14.65373,2.6300001,94.300003,42.700001,38320,1.5,4.9509745,.075987846,91.563843,45.900002,21,6.9749317,1.5,38320
.46709999,21.835443,2.3,91.199997,29.9,31970,8.8999996,9.1764708,0,100,47.299999,19.6,2.3357663,8.8999996,31970
.39610001,15.874125,2.6099999,94,31.4,33551,3.3,3.6276295,.087098531,88.08519,45.099998,16.299999,6.2482409,3.3,33551
.4817,32.956684,2.1700001,92.400002,28.5,27940,3.5999999,6.1359868,0,96.839081,38.599998,18.800001,3.065134,3.5999999,27940
.34240001,12.749004,2.2,97.300003,49.900002,37424,2.4000001,5.2054796,0,96.531792,49.799999,16,7.1290946,2.4000001,37424
.4021,15.059015,2.5599999,92.599998,38.400002,40222,3.2,4.3809524,.3776435,89.764572,45.799999,17.799999,4.9256973,3.2,40222
.3488,12.642369,2.6300001,95,30.5,36015,1.7,4.7085204,.20242915,95.606888,46.900002,17.200001,5.344203,1.7,36015
.48449999,16.148533,2.22,96.300003,44.700001,41575,5.8000002,1.2012012,0,89.392204,47.400002,26.9,6.9762998,5.8000002,41575
.41639999,9.969636,2.5799999,93.5,35.700001,39634,0,6.0595322,0,95.543854,49.400002,23,6.4411588,0,39634
.3229,26.890757,2.5999999,100,39.099998,31356,4.0999999,6.6225166,0,93.134712,46.099998,16.5,7.7720208,4.0999999,31356
.38519999,16.305161,2.1600001,98.400002,37.5,39453,.60000002,1.3233602,0,97.837646,51.400002,25.1,2.8713222,.60000002,39453
.4639,4.942966,2.1400001,95.800003,56.200001,49565,2.8,6.9371729,0,96.991798,54.599998,19.599998,.82041931,2.8,49565
.4966,29.994158,2.54,79,24.1,22625,3.2,10.1762,.11479631,52.877708,35.200001,14.299999,5.7020001,3.2,22625
.37810001,10.702703,2.52,94.300003,27.700001,31233,1.6,1.7490494,.41710114,96.507355,43.700001,15.8,3.5845587,1.6,31233
.4373,4.9822063,2.1600001,95.5,46.599998,31413,3.8,3.5812671,0,94.592918,53.200001,27.4,2.6724675,3.8,31413
.44890001,11.246943,2.4200001,97.199997,64.900002,46486,.80000001,3.6496351,0,93.952034,50.900002,26.1,5.1616268,.80000001,46486
.4091,18.006432,2.5599999,83.699997,23.700001,33247,2.4000001,5.4070964,.055925284,76.963432,44.400002,16.6,5.0428071,2.4000001,33247
.3673,14.077253,2.51,91.900002,26.4,35989,2.2,6.5541983,0,97.315987,46.299999,18.299999,5.3445849,2.2,35989
.52240002,11.747676,2.03,95.400002,61.799999,36152,2.3,5.4100842,0,85.951599,34.299999,15.099999,20.287769,2.3,36152
.46259999,13.641672,2.4000001,93.699997,53.799999,38373,1.6,6.6297355,0,89.109207,45.200001,16.800001,3.9856517,1.6,38373
,,,100,0,3532,2.4000001,6.504065,0,74.564461,20.5,0,100,2.4000001,3532
,0,,100,100,,0,,0,100,,100,0,0,
.34200001,9.4256258,2.71,94.099998,35.099998,35289,2.8,4.7838087,0,97.54464,46.700001,13.7,8.203125,2.8,35289
.41690001,18.292011,2.4200001,92.599998,29.200001,32833,3.4000001,6.9381299,0,96.563126,47.099998,17.1,6.2477856,3.4000001,32833
.39480001,13.970589,2.3199999,95.400002,45.799999,30342,1.1,5.1150894,0,93.103447,50.200001,21.700001,5.7471266,1.1,30342
.35859999,18.436874,2.3900001,95.900002,31.5,32683,5.0999999,4.1543026,0,97.907585,47.900002,17.9,5.0566697,5.0999999,32683
.39269999,16.509434,2.3399999,98,65.800003,36574,2.0999999,5.8472552,0,93.945717,45.599998,14.1,3.9665971,2.0999999,36574
.44510001,10.858794,2.51,94.400002,37.799999,44641,1.5,6.1641836,0,90.353752,46.400002,23,2.5884383,1.5,44641
.14669999,0,3.5599999,85,14.6,18494,8.1999998,0,0,100,33.700001,0,0,8.1999998,18494
.433,11.756857,2.27,93.5,40.5,32046,2.4000001,6.334434,.32581612,89.05423,40.299999,17.5,19.038937,2.4000001,32046
.43349999,19.893333,2.5699999,89.599998,35,38002,2,4.814815,.80624843,95.569351,46.599998,20,5.5436645,2,38002
.54629999,37.890625,1.88,92.699997,34.700001,31721,0,0,0,92.916664,46.299999,26.299999,13.75,0,31721
.44769999,20.197584,2.78,90.5,16.700001,23355,5.4000001,11.680912,0,94.292801,32.700001,12.5,7.9404469,5.4000001,23355
.42480001,14.168938,2.49,93.599998,18.4,26913,2.7,4.5086703,0,95.774651,43.700001,18.799999,4.0492959,2.7,26913
.39520001,18.338945,2.3900001,91.699997,21.799999,27830,2.5999999,7.816052,.42242265,94.520271,41.799999,17.4,5.5793562,2.5999999,27830
.39140001,21.434978,2.8499999,93.5,19.700001,24012,5.5,4.8387098,0,96.227684,36.900002,9.3000002,2.2903335,5.5,24012
.4461,21.621622,2.47,97.800003,62.5,43879,2.2,6.1946902,0,96.721313,53.599998,26.799999,6.0109291,2.2,43879
.40099999,15.750869,2.51,92.199997,32,29630,2.0999999,6.3533735,.10447805,86.278694,39.099998,16.1,11.791625,2.0999999,29630
,,,,,2892,0,0,0,93.557831,19,0,100,0,2892
.3355,27.962086,1.89,89.400002,32.299999,32106,2,7.4418607,0,100,53.299999,24.6,7.0175438,2,32106
.45860001,19.756077,2.3800001,89.300003,31.200001,29344,3,7.6261396,0,76.058266,39.200001,15.2,8.1333876,3,29344
.34740001,23.820225,2.53,90.699997,30.799999,33033,.1,6.8391867,0,98.46154,47,14,12.488688,.1,33033
.4366,7.8014183,2.47,94.699997,60.5,54538,0,0,0,97.084549,52.599998,22.700001,9.3294458,0,54538
.53109998,24.210526,1.72,87.099998,24.6,32228,0,0,0,97.560974,54.599998,38.599998,0,0,32228
.42660001,8.773262,2.72,94.400002,43.200001,45406,1.8,3.8128684,.066445179,90.911644,47.200001,20.700001,5.3378282,1.8,45406
.39570001,17.794971,2.52,94.199997,40.400002,36844,1.3,5.173543,.37950665,98.661804,44.299999,17.1,5.4339008,1.3,36844
.2579,0,3.1800001,61.900002,14.3,9161,0,0,0,100,17.1,7.4000001,0,0,9161
.40849999,16.546762,2.1300001,94.800003,36.599998,43006,3.5,1.3586956,0,97.404846,50.400002,20,3.1141868,3.5,43006
.55059999,34.062057,1.67,67.400002,21.9,21340,2.4000001,13.256484,1.2370114,39.460449,33.599998,10.6,7.3616829,2.4000001,21340
.51440001,30.848816,2.6099999,74.699997,12.7,19687,6,11.556626,0,50.681374,36,12.599999,5.0043297,6,19687
.55519998,38.439247,2.28,66.300003,12.1,15259,5.6999998,17.114738,0,41.847927,32.299999,10.8,5.3541551,5.6999998,15259
.46990001,7.2655444,2.6300001,96.400002,65.400002,55504,1,4.6138415,.10163396,86.76432,46.200001,21.4,7.3763022,1,55504
.50749999,29.59477,2.9100001,55,11.6,15178,7,22.707424,.13318804,33.125824,28.799999,8,6.5270705,7,15178
.47189999,26.598646,2.9100001,75.300003,18.299999,18875,5,10.360052,.014123629,60.8405,31.700001,9.1000004,6.3506966,5,18875
.45550001,28.432905,2.8099999,77.900002,15.1,15703,5.3000002,10.89077,0,66.821968,27.9,11,17.496117,5.3000002,15703
.42179999,11.804947,2.5699999,90.099998,31.4,29498,1.9,5.6779437,0,80.54171,36.799999,16.700001,6.2621884,1.9,29498
.43149999,19.68063,2.55,84.199997,21.299999,22681,2.4000001,10.101483,.10991024,77.856865,34.700001,14.7,14.430974,2.4000001,22681
.40849999,10.391978,2.55,92.400002,25.200001,35083,3.7,6.2807879,0,84.335014,48.299999,21.200001,7.2896471,3.7,35083
.3881,17.438105,2.4000001,89.199997,28.4,30597,.89999998,5.9159317,0,82.415855,42.900002,17.699999,5.0173011,.89999998,30597
.41100001,30.095591,2.74,79.5,13.7,18717,2.3,10.576698,0,67.79911,32.700001,10.8,6.8562284,2.3,18717
,,,,,,,,,,,100,,,
.4657,18.328072,2.1900001,90.199997,28.799999,30286,2.5999999,7.8071513,0,90.871758,44,19.200001,5.1564641,2.5999999,30286
.40130001,19.028662,2.1700001,88.099998,22.6,28827,1.7,6.5362382,0,94.72876,45.799999,17.9,3.1090071,1.7,28827
.37979999,17.816092,2.3499999,88.599998,24.799999,39128,3.3,2.6694045,0,96.30542,49.200001,22.9,3.3251231,3.3,39128
.37920001,21.206226,2.29,93.900002,31.5,39393,2.9000001,6.7528734,0,97.06144,51.799999,20.6,2.5823686,2.9000001,39393
.3206,0,1.6900001,88.199997,5.0999999,22355,0,24.489796,0,100,49.799999,0,0,0,22355
.41209999,23.219374,2.26,93.5,21.1,33984,1.5,10.04016,0,98.802399,48.200001,21.1,3.8922155,1.5,33984
.4413,14.107744,2.27,95.400002,35.799999,34994,4.8000002,6.4680624,0,96.987679,48.900002,20.4,5.8877225,4.8000002,34994
.4192,66.666664,1.79,83.699997,15.1,18577,0,0,0,81.395348,67.400002,68.599998,0,0,18577
.4585,13.037081,2.1700001,91.199997,41.5,37450,5.5999999,4.2473593,0,84.527328,49.900002,24.1,9.9089117,5.5999999,37450
.3858,15.886288,2.23,94,31.9,35609,2.2,4.8215404,.087757789,98.512718,49.599998,16.799999,2.6223092,2.2,35609
.44010001,8.430913,2.72,90.800003,51,32948,9.5,6.2593145,0,92.506462,42.200001,21,3.4453058,9.5,32948
.3601,8.0412369,2.74,96,40.299999,33634,2,8.0665817,0,96.665291,46.900002,17.9,5.5166736,2,33634
.4109,10.548702,2.4400001,90.5,32.599998,33536,3.2,3.6424959,0,89.593239,46.5,26.300001,5.6347947,3.2,33536
.51859999,17.628351,1.91,96,53.799999,53659,.89999998,4.8169556,0,91.904221,57.200001,38.799999,6.1117444,.89999998,53659
.2344,7.514451,2.72,99.699997,55,29336,0,0,0,100,33.799999,13.8,0,0,29336
.45469999,15.853659,2.03,97.699997,25.200001,51112,2.4000001,.85470086,0,96.951218,57.299999,19.799999,3.6585367,2.4000001,51112
.46529999,14.516129,1.74,90.800003,45.900002,41983,0,0,0,100,60.799999,35.200001,0,0,41983
.46880001,14.320988,1.96,96,54,49853,1.2,3.0237582,0,93.090454,55.799999,32.700001,8.6683416,1.2,49853
.46419999,22.44451,2.1300001,85.199997,24.4,24982,3.5,9.4557314,.081693277,94.559944,43.599998,19.200001,11.710395,3.5,24982
.3897,12.054794,2.03,93.800003,33.099998,45803,2.3,4.5112782,0,97.664833,59.799999,39.599998,2.7472527,2.3,45803
.52139997,5.7324839,2.05,95.199997,51.200001,67240,1.8,4.3650794,0,96.617332,58.299999,32,3.9112051,1.8,67240
.4118,19.631903,2.47,91.400002,37.299999,36882,2.0999999,5.0691242,0,95.652176,50.200001,24.4,2.8985507,2.0999999,36882
.41029999,20.249222,2.3800001,84,18.299999,29340,3.0999999,5.3990612,0,98.535286,47.299999,18,3.7283621,3.0999999,29340
.48469999,25.246548,2.0999999,92.5,35.099998,46014,1.8,4.2622952,0,97.996185,53.099998,29.700001,4.1507635,1.8,46014
.4998,15.897436,1.83,96,55.099998,46676,.60000002,0,0,91.569771,61.700001,39.700001,2.6162791,.60000002,46676
.4862,17.175573,1.9299999,89.599998,48.799999,58770,5.3000002,3.8167939,0,98.78788,60.599998,36.5,3.8383839,5.3000002,58770
.3748,10.687023,3.4100001,69.5,23.4,28091,16.299999,9.848485,0,100,32.900002,3.0999999,0,16.299999,28091
.53829998,17.953321,1.64,90.900002,37.5,38369,0,4.4709387,0,91.000916,56.900002,36.400002,4.775023,0,38369
.55290002,23.68421,1.95,100,52,49908,.5,15.887851,0,87.5,58.400002,38.600002,1.0416666,.5,49908
.44850001,9.4339619,2.3199999,96.900002,47.900002,45261,2.9000001,1.9230769,0,95.712097,55.5,30.4,4.0581927,2.9000001,45261
.44960001,13.264033,2.1400001,92.5,61.5,33267,.89999998,6.1755953,0,85.955055,31.9,20.1,34.72694,.89999998,33267
.44440001,13.157895,2.3800001,98.400002,41,45778,3.7,3.8054969,0,98.628426,50.099998,18.200001,4.1147132,3.7,45778
.45640001,18.886805,2.1300001,92.599998,31.799999,30169,3.2,5.1961493,0,91.017357,44.099998,19.9,7.9473372,3.2,30169
.41530001,16.13924,2.3199999,98.300003,48.400002,41585,2.2,2.0042193,0,94.336914,49.299999,19.200001,5.949821,2.2,41585
.4012,17.749399,2.4300001,87.699997,18.4,27402,3.5999999,9.4618568,.98814231,95.269417,44.700001,16.4,4.0491285,3.5999999,27402
.41929999,16.348774,2.3900001,95.400002,28.9,34785,2.0999999,4.2273045,0,98.520592,50,21.799999,3.7584965,2.0999999,34785
.2897,6.8493152,2.3299999,92.5,24.700001,24208,0,15.929204,0,100,59.599998,24.700001,0,0,24208
.42519999,18.801996,2.4000001,93.199997,32.599998,29754,2.7,7.5391183,0,94.234879,50.5,26.1,2.9893239,2.7,29754
.42550001,22.576178,2.27,91,27.299999,29428,3.0999999,7.7330508,0,97.304077,53.700001,22.4,3.4482758,3.0999999,29428
.42230001,10.260116,2.51,99.099998,61.700001,51004,5,3.9399624,0,93.783302,50.900002,20.1,4.2628775,5,51004
.40000001,11.190053,2.6300001,95.5,67.900002,41962,2.5999999,0,0,93.086716,43.900002,19,8.3080654,2.5999999,41962
.22310001,24,1.84,87,13,38683,0,0,0,89.130432,59.5,32.5,0,0,38683
.3362,12.790698,2.52,95.400002,16.700001,28889,1.8,6.8050752,0,98.838005,41.900002,17.5,4.2378674,1.8,28889
.42680001,37.037037,2.46,95.800003,35.400002,34662,1.3,1.6666666,0,99.065422,49.099998,23.299999,4.2056074,1.3,34662
.23289999,8.9743586,1.62,91.699997,16.700001,27629,0,0,0,100,46,19.799999,5.8823528,0,27629
.3416,23.593073,2.6600001,88.099998,22.700001,26995,3.5999999,12.643678,0,93.633278,37.700001,15.7,8.7436333,3.5999999,26995
.44600001,29.787233,1.83,98.599998,15.9,27507,4.6999998,5.8823528,0,93.827164,54.700001,25.6,1.2345679,4.6999998,27507
.39840001,12.512512,2.21,96.800003,36.299999,40829,.5,3.9432178,0,96.178635,46.900002,20.4,4.0515652,.5,40829
.35710001,9.2624359,2.3099999,97.699997,48.400002,38346,4.9000001,4.1742287,0,94.913071,47.599998,16.5,5.15132,4.9000001,38346
.39340001,29.846939,2.3399999,96.900002,44,36789,2.5999999,7.6763487,0,96.948357,50.799999,23.299999,2.4647887,2.5999999,36789
.38440001,11.943987,2.46,94.900002,38.299999,33657,1.5,7.2387624,0,96.526573,46,16.1,6.0090308,1.5,33657
.4224,20.345369,2.4400001,87.400002,16.9,23103,1.8,10.130284,0,96.577179,45.400002,15.9,5.0067115,1.8,23103
.41049999,18.255579,2.3399999,97.5,38,35783,1.6,6.0240965,0,94.90229,51,24.5,10.365335,1.6,35783
.4698,21.645021,2.6199999,86.400002,33,28197,2.5,1.3651878,0,98.625427,44.400002,22.599998,3.7800686,2.5,28197
.36719999,22.348484,2.49,90.800003,17.200001,32809,3.5,5.6657224,0,98.913887,51.099998,19.4,2.7928627,3.5,32809
.50889999,20.345387,2.1400001,90.199997,43.799999,37400,2.3,6.8548388,0,96.077919,51.299999,24.700001,5.4025974,2.3,37400
.389,13.783784,2.25,96.300003,46.299999,38682,1.1,5.5973268,0,94.907639,49.5,17.1,6.0659013,1.1,38682
.51010001,9.2673759,2.26,93.300003,56.099998,36664,2.3,2.8309741,0,80.601334,31.299999,11.3,24.862677,2.3,36664
.4578,21.389473,2.0799999,86.599998,24.4,25887,5.8000002,8.5858583,0,89.381424,44.099998,22.699999,2.6395326,5.8000002,25887
.39089999,15.384615,2.2,89.5,33.099998,30777,2.3,1.5544041,0,92.178772,55.700001,22.5,3.2122905,2.3,30777
.51920003,33.072918,2.1600001,93.199997,46.299999,28998,2.8,7.0640178,0,91.739677,51.200001,20.5,5.63204,2.8,28998
.43430001,18.916914,2.6099999,82.400002,20.700001,24887,4.4000001,10.076633,.073866606,71.49295,35.400002,14.2,9.8080797,4.4000001,24887
.3743,7.1640315,2.96,97.199997,36.900002,33886,1.9,6.4000001,0,96.045586,41.099998,12.1,9.6701775,1.9,33886
.34450001,11.573236,2.8900001,91.599998,28.6,36900,2.5999999,6.1714911,.29706648,94.711067,45.900002,13.9,5.4848189,2.5999999,36900
.38789999,12.252731,2.27,95.5,40.400002,42774,2.5999999,4.1845493,2.1344378,88.190605,39.099998,11.8,10.801105,2.5999999,42774
.3971,8.3769636,3.0799999,94.900002,25.799999,17126,1.3,9.6463022,0,81.569344,43.400002,15,5.352798,1.3,17126
.44800001,16.354759,2.6800001,88.900002,23,31607,1.7,3.8900416,0,98.111481,43.299999,16.200001,2.9546146,1.7,31607
