Abbreviation,FIPS,name,geographytype,year,residentpopulation,percentchangeinresidentpopulatio,popdensity,geoid2,geoid,geodisplaylabel,giniIndex,total_pop,percentNoWeb,percentWithWeb,meanHouseholdSize,percentHsEdu,percentBachelorsEdu,medianHouseholdIncome,meanHouseholdIncome,perCapitaIncome,uninsuredRate,ueRate,percentArmedForces,total_higherEd,percentEnglishOnly,medianAge,percent65andOlder,percentHigherEd,y,x,geoid2_20,idxpopdens
AL,1,Alabama,State,2010,"4,779,736",7.5,94.40000000000001,35235,8600000US35235,ZCTA5 35235,.37810001,8102,18.415207,78.338684,2.4000001,89.900002,25.799999,52175,59745,25636,5.8000002,5.9664741,.076623462,1100,95.685852,40,14.9,5.9171596,5.8000002,25636,35235,1
AK,2,Alaska,State,2010,"710,231",13.3,1.2,99744,8600000US99744,ZCTA5 99744,.3028,62,16.129032,83.870964,1.8200001,97.800003,34.400002,97500,101794,54752,3.5,3.125,0,11,97.222221,50.599998,17.700001,10.185185,3.5,54752,99744,1
AZ,4,Arizona,State,2010,"6,392,017",24.6,56.3,85029,8600000US85029,ZCTA5 85029,.4375,16677,24.938538,71.613602,2.6500001,86.199997,19.4,42853,55098,21947,18.1,8.5825577,0,2181,72.036873,35.799999,12.2,5.2498555,18.1,21947,85029,1
AR,5,Arkansas,State,2010,"2,915,918",9.1000004,56,72348,8600000US72348,ZCTA5 72348,.52139997,1057,41.721855,53.8316,2.4300001,78.400002,7.5,31335,47201,20104,12.2,15.633673,0,55,99.074463,40.400002,18,2.3138409,12.2,20104,72348,1
CA,6,California,State,2010,"37,253,956",10,239.1,93450,8600000US93450,ZCTA5 93450,.45379999,219,71.689499,28.310503,3.8900001,28.299999,9,32969,52423,14268,19.799999,3.8327527,0,6,16.712708,25.4,5.6999998,.82872927,19.799999,14268,93450,0
CO,8,Colorado,State,2010,"5,029,196",16.9,48.5,80480,8600000US80480,ZCTA5 80480,.37990001,580,25.689655,73.275864,2.3,84.599998,17,46307,56695,24522,9.1000004,1.8387552,0,32,83.32003,47.599998,21.4,2.5538707,9.1000004,24522,80480,1
CT,9,Connecticut,State,2010,"3,574,097",4.9000001,738.1,6114,8600000US06114,ZCTA5 06114,.46779999,9436,27.7766,67.062317,2.9400001,66.900002,13.2,36227,49918,17998,14.2,14.620131,0,1447,37.476299,31,8.5,5.599195,14.2,17998,6114,0
DE,10,Delaware,State,2010,"897,934",14.6,460.8,19730,8600000US19730,ZCTA5 19730,.30270001,330,9.090909,90.909088,3.52,95.699997,52.700001,93276,92202,26697,3.2,4.9557524,0,20,94.493004,37.099998,9.6999998,1.7482518,3.2,26697,19730,0
DC,11,District of Columbia,State,2010,"601,723",5.1999998,9856.5,20506,8600000US20506,ZCTA5 20506,,0,,,,,,,,,,,,0,,,100,,,,20506,0
FL,12,Florida,State,2010,"18,801,310",17.6,350.6,34949,8600000US34949,ZCTA5 34949,.5025,3835,11.707953,84.667534,1.8200001,97,41.700001,57238,86454,47707,8.3999996,5.1836939,0,119,92.128365,65.800003,53.400002,1.7124766,8.3999996,47707,34949,0
GA,13,Georgia,State,2010,"9,687,653",18.299999,168.4,30527,8600000US30527,ZCTA5 30527,.38280001,1581,24.098671,73.244781,2.8599999,87.800003,22.6,60336,69705,25181,10.3,6.3886423,.46831957,251,98.317711,43.5,18.5,6.0322037,10.3,25181,30527,0
HI,15,Hawaii,State,2010,"1,360,301",12.3,211.8,96790,8600000US96790,ZCTA5 96790,.47080001,3583,11.387106,87.608147,2.72,98.199997,38,79693,109588,40341,6.5999999,3.5881143,.31792614,393,92.215309,48.400002,19.799999,4.2140255,6.5999999,40341,96790,0
ID,16,Idaho,State,2010,"1,567,582",21.1,19,83806,8600000US83806,ZCTA5 83806,.3716,87,29.885057,51.724136,2.22,87.800003,9.5,34219,40231,19903,14,0,0,1,97.860962,52.099998,19.200001,.53475934,14,19903,83806,1
IL,17,Illinois,State,2010,"12,830,632",3.3,231.1,62649,8600000US62649,ZCTA5 62649,.35879999,157,11.464968,78.343948,3.0599999,88.300003,10,60341,66785,22451,3.3,10.330579,0,32,98.85321,31.299999,9.3999996,7.3394494,3.3,22451,62649,0
IN,18,Indiana,State,2010,"6,483,802",6.5999999,181,46723,8600000US46723,ZCTA5 46723,.42829999,3080,21.850649,73.993507,2.46,91.199997,15.1,59167,77303,31501,6.3000002,2.7862327,0,506,98.679222,42.599998,14.8,7.1097374,6.3000002,31501,46723,0
IA,19,Iowa,State,2010,"3,046,355",4.0999999,54.5,52171,8600000US52171,ZCTA5 52171,.36919999,321,23.987539,71.962616,2.76,90.400002,18.5,61534,79012,29936,1,1.6071428,0,17,97.674416,42.700001,21.1,1.9767442,1,29936,52171,1
KS,20,Kansas,State,2010,"2,853,118",6.0999999,34.9,67639,8600000US67639,ZCTA5 67639,.264,73,10.958904,76.712326,1.95,93.5,15.3,45781,47096,23618,0,0,0,0,100,63.599998,47.900002,0,0,23618,67639,1
